Método,P@10,R@10,nDCG@10,S@10,SS@10,Diversidad,Novedad
HTFRS-Sellos (γ=0.0),0.0027,0.010294727850775679,0.013943334730894956,1.22875,0.3421499999999999,0.7876000000000001,0.03265
HTFRS-Sellos (γ=0.1),0.002,0.009304389415239313,0.012403859617464682,0.49645000000000006,0.69,0.558,0.01765
HTFRS-Sellos (γ=0.2),0.0015500000000000002,0.007803823960062719,0.010172380404489185,0.3410500000000001,0.7802500000000001,0.47720000000000007,0.017450000000000004
HTFRS-Sellos (γ=0.3),0.0014000000000000004,0.007201420113908872,0.009457535253013337,0.31585,0.80445,0.4635000000000001,0.017450000000000004
HTFRS-Sellos (γ=0.5),0.001,0.0047430867805755405,0.007224414413170639,0.26135,0.8589499999999999,0.42895,0.017450000000000004
HTFRS-Sellos (γ=0.8),0.001,0.0047430867805755405,0.007224414413170639,0.26130000000000003,0.859,0.42895,0.017450000000000004
"HTFRS-OMS (paper, Tabla 7)*",0.0654,0.0637,0.0453,,,,
