Modelo,Precision@10,Recall@10,nDCG@10,S@10,SS@10,Diversidad,Novedad
Content-Based (K=10),0.002,0.02,0.02,—,—,—,—
Q-Learning sin sellos (α=0),0.0062,0.0624,0.0295,1.4884,0.1912,0.811,0.1408
Q-Learning con sellos (α=0.5),0.0058,0.0583,0.0299,0.9844,0.3675,0.6773,0.1088
