Métrica,Sin Sellos (Base),Con Sellos (Híbrido)
Precision@K,0.00512,0.0044
Recall@K,0.014775699084093551,0.010337460629769129
F1@K,0.005554566832531726,0.004254809140418793
MAP@K,0.00684722442680776,0.0053160335097001766
NDCG@K,0.011745464177973812,0.009309286095285588
AUC ROC,0.0,0.0
S@K (Promedio Sellos),1.22604,0.04692
SS@K (% Sin Sellos),0.31396,0.9569600000000003
Diversidad,0.72864,0.3631599999999999
Novedad,0.04718,0.022080000000000002
