alpha,P@10,R@10,nDCG@10,MAP@10,S@10,SS@10,Novelty,Diversity,Diversidad,Novedad
0.0,0.00035000000000000005,0.001064546783625731,0.0007471403178534384,0.00039907407407407404,2.22035,0.02155,15.098270954827196,0.7302000000000001,0.62925,0.28129999999999994
0.25,0.0010500000000000002,0.0043593977402026935,0.002891581829644045,0.0017960780423280423,0.26465,0.7663,14.436528856878196,0.8042500000000001,0.4615000000000001,0.06315
0.5,0.0007000000000000001,0.0018062935856414117,0.0013829168541385167,0.0006968650793650794,0.06910000000000001,0.9315999999999999,14.564280066466111,0.8088000000000001,0.41935000000000006,0.024
0.75,0.0010500000000000002,0.0041203829950952715,0.0022643465252309195,0.0010907407407407406,0.03540000000000001,0.9646,14.249965880932184,0.8006500000000001,0.4091000000000001,0.0157
1.0,0.0009,0.0035037402175829287,0.0019009910456765414,0.0008635119047619048,0.02865,0.97135,14.766330060500776,0.7941000000000001,0.40730000000000005,0.013999999999999999
